                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7168,                 3.9754,                 1.7352,                0.00333,                      1,                0.03782,                0.01405,                      0,                    inf,                      0,                 0.0721,                 0.0031,                 0.0031
                      1,                 1.5595,                 2.6271,                 1.4808,                0.64543,                0.55179,                0.60178,                0.27697,                      0,                    inf,                      0,               0.043238,              0.0062376,              0.0062376
                      2,                 1.5028,                  1.947,                 1.4013,                0.62507,                0.45469,                0.67618,                0.29434,                      0,                    inf,                      0,               0.014312,              0.0093119,              0.0093119
                      3,                 1.5431,                 1.8159,                 1.5018,                0.62444,                0.72727,                0.65992,                0.33264,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      4,                 1.4788,                 1.6834,                 1.4318,                0.55635,                0.64619,                0.64165,                0.27092,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      5,                 1.5254,                 1.5447,                 1.4721,                 0.6897,                0.72727,                0.72393,                0.37012,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                      6,                 1.5184,                 1.4808,                 1.4547,                0.81566,                0.53661,                0.54986,                0.27827,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                 1.4641,                 1.3881,                 1.3963,                0.73259,                0.75758,                0.78032,                0.35989,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                 1.4567,                 1.2736,                 1.3901,                 0.8047,                0.74934,                0.75765,                0.37707,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                 1.4364,                 1.2169,                 1.3927,                0.77813,                0.78788,                0.83556,                0.37166,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                 1.4521,                 1.1817,                 1.3954,                0.84034,                0.79765,                0.84011,                0.46395,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                 1.4586,                 1.1442,                 1.4197,                0.84005,                0.84848,                0.86997,                0.47853,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                 1.4438,                 1.1518,                 1.3994,                  0.871,                0.75758,                0.84341,                0.44531,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                 1.3895,                 1.0343,                 1.3556,                0.87444,                0.75758,                0.72878,                0.39475,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                  1.397,                 1.0623,                 1.3739,                 0.8707,                 0.8163,                0.82051,                0.42324,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     15,                 1.3549,                 1.0307,                 1.3526,                0.81669,                0.72727,                0.73407,                0.40087,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     16,                 1.3117,                0.98653,                 1.3372,                  0.862,                0.75718,                0.80392,                0.42154,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     17,                 1.2921,                0.97901,                 1.3334,                0.81086,                0.77969,                0.76491,                0.37841,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     18,                 1.2785,                0.96738,                 1.3137,                0.76267,                0.68191,                0.73542,                0.38459,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     19,                 1.2585,                0.90173,                 1.3058,                0.71556,                0.72727,                 0.7173,                0.36233,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     20,                 1.2309,                0.89469,                 1.2702,                0.82438,                0.78788,                0.82505,                0.45846,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     21,                 1.2485,                0.86837,                 1.2875,                0.79985,                0.60606,                0.70397,                0.39044,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     22,                 1.2052,                0.87351,                 1.2651,                0.96394,                0.81035,                0.85989,                0.46519,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     23,                 1.1869,                0.85507,                 1.2356,                 0.8534,                0.72727,                0.74444,                0.41837,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     24,                 1.1569,                0.81651,                 1.2367,                0.79152,                0.81818,                0.82382,                0.46057,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
                     25,                 1.1341,                0.80846,                  1.212,                0.83957,                0.81818,                0.84016,                 0.4073,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
